Filename,Description
./audio_clips//MC Quakez - Fire In The Booth-761.7.mp3,the girl tried to take off my jacket
./audio_clips//MC Quakez - Fire In The Booth-763.7.mp3,i said babes MANS NOT HOT
./audio_clips//MC Quakez - Fire In The Booth-767.5.mp3,man can never be hot
./audio_clips//MC Quakez - Fire In The Booth-769.5.mp3,persperation ting
./audio_clips//MC Quakez - Fire In The Booth-771.5.mp3,lynx effect
./audio_clips//MC Quakez - Fire In The Booth-776.8.mp3,u look a bit hot eeee
./audio_clips//MC Quakez - Fire In The Booth-780.mp3,man dont make jokes with me
./audio_clips//MC Quakez - Fire In The Booth-796.8.mp3,why did u let rs take ur jacket?
./audio_clips//MC Quakez - Fire In The Booth-810.mp3,ur tryna cause the conspi...
./audio_clips//MC Quakez - Fire In The Booth-915.6.mp3,u no who i am?
./audio_clips//MC Quakez - Fire In The Booth-916.6.mp3,yes
./audio_clips//MC Quakez - Fire In The Booth-917.mp3,u no who i roll with?
./audio_clips//MC Quakez - Fire In The Booth-918.5.mp3,i no who u are
./audio_clips//MC Quakez - Fire In The Booth-920.5.mp3,u no my section?
./audio_clips//MC Quakez - Fire In The Booth-922.5.mp3,eeee no
./audio_clips//MC Quakez - Fire In The Booth-923.5.mp3,man dont start bif
./audio_clips//MC Quakez - Fire In The Booth-925.mp3,ill lick off ur el quifee if u dare me
./audio_clips//MC Quakez - Fire In The Booth-929.mp3,spanish dons tryna treat me like an el dickhead
./audio_clips//MC Quakez - Fire In The Booth-953.7.mp3,hes got the quif that can get lifted
./audio_clips//MC Quakez - Fire In The Booth-969.mp3,u no where it is
./audio_clips//MC Quakez - Fire In The Booth-978.5.mp3,im gonna post the pampers soon
